registro;;;uo;;numero_empenho;;data_nap;numero_nap;valor_item_empenho;
10;39686;1;1043;1;14833;5122023;6122023;37274;7790,37;3294965656
11;39686;2501000;0;7790,37;;;;;;
10;39543;1;1123;1;7415;20062023;6122023;37275;8000,00;29703905668
11;39543;1500000;1001;8000;;;;;;
10;39993;1;1131;1;9236;3082023;6122023;37276;95713,22;1463827652
11;39993;1500000;1002;95713,22;;;;;;
10;39545;1;1041;1;14840;5122023;6122023;37277;60859,77;7080739640
11;39545;1501000;0;60859,77;;;;;;
10;39546;1;1131;1;12220;6102023;6122023;37278;1060,27;1463827652
11;39546;1600000;3110;1060,27;;;;;;
10;39687;1;1043;1;14834;5122023;6122023;37279;7790,37;3294965656
11;39687;2501000;0;7790,37;;;;;;
10;39992;1;1131;1;9236;3082023;6122023;37280;95713,22;1463827652
11;39992;1500000;1002;95713,22;;;;;;
10;39688;1;1043;1;14835;5122023;6122023;37281;7790,37;3294965656
11;39688;2501000;0;7790,37;;;;;;
10;39690;1;1043;1;14836;5122023;6122023;37283;7790,37;3294965656
11;39690;2501000;0;7790,37;;;;;;
10;39553;1;1251;1;12155;3102023;6122023;37284;275378,39;6955551620
11;39553;1500000;0;275378,39;;;;;;
10;39691;1;1043;1;14837;5122023;6122023;37285;7790,37;3294965656
11;39691;2501000;0;7790,37;;;;;;
10;39693;1;1043;1;14838;5122023;6122023;37286;7790,37;3294965656
11;39693;2501000;0;7790,37;;;;;;
10;39556;1;1071;1;11855;27092023;6122023;37287;57794,10;31196098620
11;39556;1500000;0;57794,1;;;;;;
10;39694;1;1043;1;14839;5122023;6122023;37288;7790,37;3294965656
11;39694;2501000;0;7790,37;;;;;;
10;39558;1;1251;1;7846;23062023;6122023;37289;2540,00;6955551620
11;39558;1500000;0;2540;;;;;;
10;39559;1;1251;1;12156;3102023;6122023;37291;78794,90;6955551620
11;39559;1500000;0;78794,9;;;;;;
10;39560;1;1251;1;7152;15062023;6122023;37292;27104,00;6955551620
11;39560;1500000;0;27104;;;;;;
10;39561;1;1071;1;9209;2082023;6122023;37293;26028,27;31196098620
11;39561;1500000;0;26028,27;;;;;;
10;40942;1;1123;1;11041;19092023;6122023;37294;413372,56;29703905668
11;40942;1500000;1001;413372,56;;;;;;
10;40943;1;1123;1;12326;10102023;6122023;37294;1567792,58;29703905668
11;40943;1500000;1001;1567792,58;;;;;;
10;40944;1;1123;1;12469;18102023;6122023;37294;446261,41;29703905668
11;40944;1500000;1001;446261,41;;;;;;
10;40941;1;1123;1;11008;19092023;6122023;37294;676546,38;29703905668
11;40941;1500000;1001;676546,38;;;;;;
10;40940;1;1123;1;11004;19092023;6122023;37294;1151957,30;29703905668
11;40940;1500000;1001;1151957,3;;;;;;
10;39568;1;1251;1;11175;20092023;6122023;37296;13102,00;6955551620
11;39568;1500000;0;13102;;;;;;
10;39572;1;1131;1;12038;29092023;6122023;37297;10224,00;1463827652
11;39572;1600000;0;10224;;;;;;
10;39573;1;1131;1;12212;6102023;6122023;37301;14800,00;1463827652
11;39573;1500000;1002;14800;;;;;;
10;39574;1;1251;1;13196;30102023;6122023;37303;67714,16;6955551620
11;39574;1500000;0;67714,16;;;;;;
10;39576;1;1131;1;11088;19092023;6122023;37304;100000,00;1463827652
11;39576;1500000;1002;100000;;;;;;
10;39575;1;1131;1;10348;29082023;6122023;37304;228739,72;1463827652
11;39575;1500000;1002;228739,72;;;;;;
10;39577;1;1131;1;12213;6102023;6122023;37306;3519,90;1463827652
11;39577;1500000;1002;3519,9;;;;;;
10;40203;1;1131;1;12211;6102023;6122023;37307;1900265,59;1463827652
11;40203;1600000;0;1900265,59;;;;;;
10;39579;1;1131;1;6681;1062023;6122023;37310;205755,24;1463827652
11;39579;2621000;0;205755,24;;;;;;
10;39645;1;1123;1;12468;18102023;6122023;37311;41112,30;29703905668
11;39645;2500000;1001;41112,3;;;;;;
10;39644;1;1123;1;9700;11082023;6122023;37311;50095,67;29703905668
11;39644;2500000;1001;50095,67;;;;;;
10;39643;1;1123;1;9696;11082023;6122023;37311;694209,50;29703905668
11;39643;2500000;1001;694209,5;;;;;;
10;39583;1;1131;1;6687;1062023;6122023;37314;199530,73;1463827652
11;39583;2621000;0;199530,73;;;;;;
10;39585;1;1131;1;6833;6062023;6122023;37320;5838,67;1463827652
11;39585;2621000;0;5838,67;;;;;;
10;39586;1;1131;1;11114;19092023;6122023;37321;17136,00;1463827652
11;39586;2621000;0;17136;;;;;;
10;39652;1;1123;1;12326;10102023;6122023;37326;13843,24;29703905668
11;39652;1500000;1001;13843,24;;;;;;
10;39591;1;1071;1;13308;1112023;6122023;37330;31010,57;31196098620
11;39591;1500000;0;31010,57;;;;;;
10;39592;1;1071;1;13309;1112023;6122023;37330;6112,60;31196098620
11;39592;1500000;0;6112,6;;;;;;
10;39608;1;1151;1;454;2012023;6122023;37331;115,18;18606121649
11;39608;1500000;0;115,18;;;;;;
10;39595;1;1071;1;2469;13022023;6122023;37332;148,20;31196098620
11;39595;2500000;0;148,2;;;;;;
10;40142;1;1123;1;14842;5122023;11122023;37333;27814,24;29703905668
11;40142;1500000;1001;27814,24;;;;;;
10;39598;1;1071;1;11866;27092023;6122023;37334;111283,36;31196098620
11;39598;1500000;0;111283,36;;;;;;
10;39601;1;1251;1;14843;5122023;6122023;37338;43169,80;6955551620
11;39601;1500000;0;43169,8;;;;;;
10;39603;1;1131;1;12039;29092023;6122023;37342;16872,00;1463827652
11;39603;2621000;0;16872;;;;;;
10;39604;1;1123;1;11031;19092023;6122023;37344;16352,24;29703905668
11;39604;1500000;1001;16352,24;;;;;;
10;39605;1;1251;1;14844;5122023;6122023;37345;46563,58;6955551620
11;39605;2500000;0;46563,58;;;;;;
10;39606;1;1131;1;3962;22032023;6122023;37346;2854,07;1463827652
11;39606;1600000;0;2854,07;;;;;;
10;39607;1;1131;1;8245;30062023;6122023;37346;5418,09;1463827652
11;39607;1600000;0;5418,09;;;;;;
10;39609;1;1151;1;454;2012023;6122023;37349;115,18;18606121649
11;39609;1500000;0;115,18;;;;;;
10;39611;1;1131;1;11058;19092023;6122023;37351;13413,00;1463827652
11;39611;1600000;0;13413;;;;;;
10;39610;1;1131;1;10566;6092023;6122023;37351;22059,64;1463827652
11;39610;1600000;0;22059,64;;;;;;
10;39728;1;1181;1;14849;6122023;6122023;37353;674924,55;2582914606
11;39728;2500000;0;674924,55;;;;;;
10;39613;1;1131;1;4014;22032023;6122023;37356;1757,16;1463827652
11;39613;1600000;0;1757,16;;;;;;
