num_emp;ano_insc;ug;uo;fonte;num_doc;credor;nome_credor;valor;valor_anu_ant;valor_anu_mes;valor_em_liq_ant;valor_em_liq_mes;valor_liq_ant;valor_liq_mes;valor_pag_ant;valor_pag_mes;saldo_ant;saldo_mes
9271;2014;1546;1131;21600000;/;20491;OLDEMAR ANELIO MAGALHÃES;1.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.200,00;1.200,00
3991;2016;1546;1131;21600000;/;24746;COSTA CAMARGO COM. DE PRODUTOS HOSPITALARES LTDA - EPP;4.410,00;0,00;0,00;4.410,00;0,00;0,00;0,00;0,00;0,00;4.410,00;4.410,00
10073;2016;1546;1131;21600000;/;35141;COSTA CAMARGO COMERCIO DE PRODUTOS HOSPITALARES LTDA;930,10;0,00;0,00;930,10;0,00;0,00;0,00;0,00;0,00;930,10;930,10
13664;2016;1546;1131;21600000;3910/2016;41825;PERFORMULA DROGARIA E MANIPULAÇÃO LTDA - ME;305,40;0,00;0,00;305,40;0,00;0,00;0,00;0,00;0,00;305,40;305,40
13668;2016;1546;1131;21600000;3915/2016;28438;MEDTRONIC COMERCIAL LTDA;5.037,00;0,00;0,00;5.037,00;0,00;0,00;0,00;0,00;0,00;5.037,00;5.037,00
13713;2016;1546;1131;21600000;/;17168;APORTE NUTRICIONAL FARMACIA DE MANIPULAÇÃO LTDA EPP;1.648,80;0,00;0,00;1.648,80;0,00;0,00;0,00;0,00;0,00;1.648,80;1.648,80
40;2017;1546;1131;21600000;/;1613;FAMAP NUTRIÇÃO PARENTERAL LTDA;814,60;0,00;0,00;814,60;0,00;0,00;0,00;0,00;0,00;814,60;814,60
54;2017;1546;1131;21600000;/;1613;FAMAP NUTRIÇÃO PARENTERAL LTDA;1.957,85;0,00;0,00;1.957,85;0,00;0,00;0,00;0,00;0,00;1.957,85;1.957,85
197;2017;1546;1131;21600000;/;21434;GILMED SUL COMERCIO DE MATERIAL CIRURGICO EIRELI LTDA;7.461,00;0,00;0,00;7.461,00;0,00;0,00;0,00;0,00;0,00;7.461,00;7.461,00
1156;2017;0171;1151;01500000;/;33740;TRANSMIG TRANSPORTES E COMÉRCIO EIRELLI - ME;1.460,24;0,00;0,00;1.460,24;0,00;0,00;0,00;0,00;0,00;1.460,24;1.460,24
2939;2017;1546;1131;21600000;/;16923;COMERCIAL CIRURGICA RIOCLARENSE LTDA;5.574,80;0,00;0,00;5.574,80;0,00;0,00;0,00;0,00;0,00;5.574,80;5.574,80
5472;2017;1546;1131;21631000;/;19301;AL COMÉRCIO DE MATERIAL DE ESCRITÓRIO LTDA - ME;2.776,00;0,00;0,00;2.776,00;0,00;0,00;0,00;0,00;0,00;2.776,00;2.776,00
5651;2017;1546;1131;21600000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;1.645,00;0,00;0,00;1.645,00;0,00;0,00;0,00;0,00;0,00;1.645,00;1.645,00
5679;2017;1546;1131;21600000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;5.910,71;0,00;0,00;5.910,71;0,00;0,00;0,00;0,00;0,00;5.910,71;5.910,71
9007;2017;1546;1131;21600000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;406,80;0,00;0,00;406,80;0,00;0,00;0,00;0,00;0,00;406,80;406,80
9075;2017;1546;1131;21600000;/;14165;AMGS - COMÉRCIO E REPRESENTAÇÕES LTDA;4.427,96;0,00;0,00;4.427,96;0,00;0,00;0,00;0,00;0,00;4.427,96;4.427,96
9105;2017;1546;1131;21621000;/;19218;NOW QUIMICA INDUSTRIA E COMERCIO LTDA;6.150,00;0,00;0,00;6.150,00;0,00;0,00;0,00;0,00;0,00;6.150,00;6.150,00
9790;2017;1546;1131;21600000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;222,54;0,00;0,00;222,54;0,00;0,00;0,00;0,00;0,00;222,54;222,54
11179;2017;1546;1131;21600000;/;1613;FAMAP NUTRIÇÃO PARENTERAL LTDA;1.133,31;0,00;0,00;1.133,31;0,00;0,00;0,00;0,00;0,00;1.133,31;1.133,31
12144;2017;1546;1131;21600000;/;26176;POSTO BAISA LTDA;75,99;0,00;0,00;75,99;0,00;0,00;0,00;0,00;0,00;75,99;75,99
12174;2017;1546;1131;21600000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;20.581,64;0,00;0,00;20.581,64;0,00;0,00;0,00;0,00;0,00;20.581,64;20.581,64
12219;2017;1546;1131;21600000;/;14165;AMGS - COMÉRCIO E REPRESENTAÇÕES LTDA;2.764,21;0,00;0,00;2.764,21;0,00;0,00;0,00;0,00;0,00;2.764,21;2.764,21
674;2018;1546;1131;21600000;/;14165;AMGS - COMÉRCIO E REPRESENTAÇÕES LTDA;483,71;0,00;0,00;483,71;0,00;0,00;0,00;0,00;0,00;483,71;483,71
916;2018;1546;1131;21600000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;85,50;0,00;0,00;85,50;0,00;0,00;0,00;0,00;0,00;85,50;85,50
1177;2018;1546;1131;21600000;/;42583;IGAR - COMERCIO E SERVICOS LTDA - ME;18.420,95;0,00;0,00;18.420,95;0,00;0,00;0,00;0,00;0,00;18.420,95;18.420,95
1799;2018;1546;1131;21621000;/;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;5.143,80;0,00;0,00;5.143,80;0,00;0,00;0,00;0,00;0,00;5.143,80;5.143,80
1976;2018;1546;1131;21600000;/;14165;AMGS - COMÉRCIO E REPRESENTAÇÕES LTDA;90,29;0,00;0,00;90,29;0,00;0,00;0,00;0,00;0,00;90,29;90,29
2932;2018;1546;1131;21621000;/;26176;POSTO BAISA LTDA;183,50;0,00;0,00;183,50;0,00;0,00;0,00;0,00;0,00;183,50;183,50
3047;2018;1546;1131;21600000;/;42583;IGAR - COMERCIO E SERVICOS LTDA - ME;31.274,96;0,00;0,00;31.274,96;0,00;0,00;0,00;0,00;0,00;31.274,96;31.274,96
3143;2018;1546;1131;21600000;/;1613;FAMAP NUTRIÇÃO PARENTERAL LTDA;2.076,88;0,00;0,00;2.076,88;0,00;0,00;0,00;0,00;0,00;2.076,88;2.076,88
4070;2018;1546;1131;21600000;/;14165;AMGS - COMÉRCIO E REPRESENTAÇÕES LTDA;1.405,17;0,00;0,00;1.405,17;0,00;0,00;0,00;0,00;0,00;1.405,17;1.405,17
5659;2018;1546;1131;01500702;/;3083;AIR LIQUIDE BRASIL LTDA;3.342,59;0,00;0,00;3.342,59;0,00;0,00;0,00;0,00;0,00;3.342,59;3.342,59
7249;2018;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;531,70;0,00;0,00;531,70;0,00;0,00;0,00;0,00;0,00;531,70;531,70
7301;2018;1546;1131;21621000;/;34790;DIFARMED COMERCIO DE MEDICAMENTOS LTDA - ME;1.262,91;0,00;0,00;1.262,91;0,00;0,00;0,00;0,00;0,00;1.262,91;1.262,91
7910;2018;1546;1131;21621000;/;14165;AMGS - COMÉRCIO E REPRESENTAÇÕES LTDA;1.283,18;0,00;0,00;1.283,18;0,00;0,00;0,00;0,00;0,00;1.283,18;1.283,18
8563;2018;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;252,10;0,00;0,00;252,10;0,00;0,00;0,00;0,00;0,00;252,10;252,10
9390;2018;1546;1131;51500702;/;14670;MASIF ARTIGOS MEDICOS E HOSPITALARES LTDA;15.741,96;0,00;0,00;15.741,96;0,00;0,00;0,00;0,00;0,00;15.741,96;15.741,96
9452;2018;1546;1131;21621000;/;14670;MASIF ARTIGOS MEDICOS E HOSPITALARES LTDA;15.110,96;0,00;0,00;15.110,96;0,00;0,00;0,00;0,00;0,00;15.110,96;15.110,96
1238;2019;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;11.042,24;0,00;0,00;11.042,24;0,00;0,00;0,00;0,00;0,00;11.042,24;11.042,24
1794;2019;1546;1131;01500702;/;34790;DIFARMED COMERCIO DE MEDICAMENTOS LTDA - ME;255,80;0,00;0,00;255,80;0,00;0,00;0,00;0,00;0,00;255,80;255,80
1795;2019;1546;1131;21600000;/;34790;DIFARMED COMERCIO DE MEDICAMENTOS LTDA - ME;39,60;0,00;0,00;39,60;0,00;0,00;0,00;0,00;0,00;39,60;39,60
2053;2019;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;3.906,10;0,00;0,00;3.906,10;0,00;0,00;0,00;0,00;0,00;3.906,10;3.906,10
