CODIGO_RECEITA;ESPECIFICACAO;VR_ORC_FONTE;FONTE_RECURSO;CO;VR_ARREC_MES_FONTE;VR_ARREC_ATE_MES_FONTE;VR_ORC;VR_ARREC_MES;VR_ARREC_ATE_MES;VR_DIFERENCA
1000000000;Receitas Correntes;0;;;0;0;3.075.757.862,00;248.418.469,67;1.132.357.309,59;1.943.400.552,41
1100000000;Impostos, Taxas e Contribuições de Melhoria;0;;;0;0;1.086.861.800,00;67.099.179,07;521.287.947,53;565.573.852,47
1110000000;Impostos;0;;;0;0;1.014.184.556,00;64.681.871,17;451.006.127,94;563.178.428,06
1112000000;Impostos sobre o Patrimônio;0;;;0;0;571.033.445,00;30.473.699,13;335.425.989,07;235.607.455,93
1112500000;Imposto sobre a Propriedade Predial e Territorial Urbana;0;;;0;0;477.303.599,00;23.061.329,12;314.188.510,56;163.115.088,44
1112500100;Imposto sobre a Propriedade Predial e Territorial Urbana - Principal - 47,56%;194.042.526,64;1500000;;8.166.142,64;138.815.362,34;407.995.220,00;17.170.190,57;291.874.184,89;55.227.164,30
1112500100;Imposto sobre a Propriedade Predial e Territorial Urbana - Principal - 25,00%;101.998.805,00;1500701;1001;4.292.547,64;72.968.546,22;407.995.220,00;17.170.190,57;291.874.184,89;29.030.258,78
1112500100;Imposto sobre a Propriedade Predial e Territorial Urbana - Principal - 27,44%;111.953.888,37;1500702;1002;4.711.500,29;80.090.276,33;407.995.220,00;17.170.190,57;291.874.184,89;31.863.612,04
1112500200;Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros - 47,56%;2.994.837,04;1500000;;231.940,46;3.313.313,70;6.296.966,00;487.679,67;6.966.597,33;-318.476,66
1112500200;Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros - 25,00%;1.574.241,50;1500701;1001;121.919,91;1.741.649,33;6.296.966,00;487.679,67;6.966.597,33;-167.407,83
1112500200;Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros - 27,44%;1.727.887,47;1500702;1002;133.819,30;1.911.634,30;6.296.966,00;487.679,67;6.966.597,33;-183.746,83
1112500300;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - 47,56%;25.314.940,51;1500000;;1.877.970,15;5.344.229,04;53.227.377,00;3.948.633,61;11.236.814,61;19.970.711,47
